,ID,LtrGrade,Department,Grade,Term_GPA,Course,Name,Age,Attendance,Gender,Latino,Race,ZIP,LAT,LNG,ProfID
1677,2017000004,P+,Other,100.0,3.4,Chapel,Chapel,22,100%,2,No,2,92116,32.764971,-117.123145,46
1683,2017000008,A-,Natural Sciences,90.0,3.12,CHE 105,General Chemistry I and LAB,22,100%,3,Yes,2,90504,33.867257,-118.330794,31
1684,2017000008,A,Integrated Core,95.4,3.12,INT 100,Interdisciplinary Studies,22,92.31%,3,Yes,2,90504,33.867257,-118.330794,28
1685,2017000008,B+,Kinesiology,88.9,3.12,KIN 100,Fundamentals of Nutrition,22,92.31%,3,Yes,2,90504,33.867257,-118.330794,40
1686,2017000008,C-,General Education,70.34,3.12,MTH 100,College Algebra,22,93.33%,3,Yes,2,90504,33.867257,-118.330794,16
1687,2017000008,B-,General Education,82.15,3.12,ECO 100,Introduction to Economics,22,96.55%,3,Yes,2,90504,33.867257,-118.330794,17
1711,2017000011,B-,Natural Sciences,82.39,3.24,BIO 305,Human Physiology &amp; Anatomy I,22,89.29%,3,No,2,92029,33.0824,-117.127641,73
1712,2017000011,B-,Natural Sciences,81.82,3.24,CHE 215,Organic Chemistry I and LAB,22,100%,3,No,2,92029,33.0824,-117.127641,31
1713,2017000011,B+,Integrated Core,89.63,3.24,INT 200,Classical Rhetoric,22,92%,3,No,2,92029,33.0824,-117.127641,25
1714,2017000011,A,Natural Sciences,96.5,3.24,MTH 110,Calculus I,22,100%,3,No,2,92029,33.0824,-117.127641,67
1715,2017000011,A-,General Education,91.83,3.24,ECO 100,Introduction to Economics,22,96.55%,3,No,2,92029,33.0824,-117.127641,17
1719,2017000011,A-,Integrated Core,92.41,2.6,INT 210,Western Civilization &amp; the Formation of Christendom,22,100%,3,No,2,92029,33.0824,-117.127641,20
1720,2017000011,A,Natural Sciences,95.0,2.6,MTH 210,Calculus II,22,66.67%,3,No,2,92029,33.0824,-117.127641,25
1722,2017000011,B-,Natural Sciences,81.17,2.95,CHE 300,Biochemistry I,22,81.48%,3,No,2,92029,33.0824,-117.127641,33
1723,2017000011,B+,General Education,88.65,2.95,SPA 100,Spanish I,22,87.50%,3,No,2,92029,33.0824,-117.127641,19
1724,2017000011,A-,Integrated Core,90.68,2.95,INT 300,Ethics,22,67.50%,3,No,2,92029,33.0824,-117.127641,29
1725,2017000011,P+,Other,100.0,2.95,Chapel,Chapel,22,96.97%,3,No,2,92029,33.0824,-117.127641,46
1763,2017000019,D,General Education,64.33,2.06,MTH 090,Intermediate Algebra,19,89.66%,3,No,5,92056,33.201242,-117.29698400000001,57
1764,2017000019,B,General Education,83.76,2.06,THE 100,Orthodox Christianity,19,93.10%,3,No,5,92056,33.201242,-117.29698400000001,83
1765,2017000019,C+,General Education,78.08,2.06,WRI 090,Intermediate Composition,19,88%,3,No,5,92056,33.201242,-117.29698400000001,25
1766,2017000019,C,Arts and Humanities,75.57,2.06,HIS 100,Introduction to Historical Study,19,92.86%,3,No,5,92056,33.201242,-117.29698400000001,20
1767,2017000019,C,Integrated Core,74.3,2.06,INT 100,Interdisciplinary Studies,19,92.31%,3,No,5,92056,33.201242,-117.29698400000001,28
1769,2017000019,C,Integrated Core,74.0,2.15,INT 110,Critical Reasoning,19,90.91%,3,No,5,92056,33.201242,-117.29698400000001,29
1770,2017000019,B+,General Education,86.0,2.15,WRI 100,College Composition I,19,88.37%,3,No,5,92056,33.201242,-117.29698400000001,10
1771,2017000019,C+,Arts and Humanities,77.22,2.15,ART 100,Intro to Studio Art &amp; Art History,19,71.43%,3,No,5,92056,33.201242,-117.29698400000001,39
1774,2017000019,D,Integrated Core,64.4,1.01,INT 200,Classical Rhetoric,19,48.39%,3,No,5,92056,33.201242,-117.29698400000001,25
1775,2017000019,D+,General Education,67.47,1.01,WRI 105,College Composition II,19,66.67%,3,No,5,92056,33.201242,-117.29698400000001,90
1776,2017000019,C+,Business Management,77.86,1.01,ECO 115,Macroeconomics,19,88.24%,3,No,5,92056,33.201242,-117.29698400000001,89
1777,2017000019,F,Business Management,41.39,1.01,MGT 100,Foundations of Management,19,75.86%,3,No,5,92056,33.201242,-117.29698400000001,79
1778,2017000019,P+,Other,100.0,1.01,Chapel,Chapel,19,100%,3,No,5,92056,33.201242,-117.29698400000001,46
1779,2017000019,F,General Education,55.38,1.01,MTH 100,College Algebra,19,86.27%,3,No,5,92056,33.201242,-117.29698400000001,34
1810,2017000025,B+,Kinesiology,88.09,3.11,KIN 200,Introduction to Kinesiology,25,96.15%,3,Yes,2,92231,32.687552000000004,-115.541028,40
1811,2017000025,B,Kinesiology,85.55,3.11,KIN 100,Fundamentals of Nutrition,25,92.31%,3,Yes,2,92231,32.687552000000004,-115.541028,40
1812,2017000025,B,Kinesiology,83.21,3.11,KIN 150,Intro to Athletic Training,25,100%,3,Yes,2,92231,32.687552000000004,-115.541028,51
1814,2017000025,B,Natural Sciences,84.36,3.11,CHE 105,General Chemistry I and LAB,25,100%,3,Yes,2,92231,32.687552000000004,-115.541028,31
1815,2017000025,B+,Integrated Core,88.18,3.11,INT 300,Ethics,25,96.43%,3,Yes,2,92231,32.687552000000004,-115.541028,29
1817,2017000025,B-,Kinesiology,80.0,2.53,KIN 275,Fundamentals of Strength &amp; Conditioning &amp; Ex Prescription,25,100%,3,Yes,2,92231,32.687552000000004,-115.541028,77
1818,2017000025,B,Kinesiology,84.0,2.53,KIN 300,Applied Kinesiology,25,100%,3,Yes,2,92231,32.687552000000004,-115.541028,77
1819,2017000025,B-,Kinesiology,81.0,2.53,KIN 315,Nutrition for Health &amp; Exercise Performance,25,100%,3,Yes,2,92231,32.687552000000004,-115.541028,77
1820,2017000025,C,General Education,73.0,2.53,MTH 100,College Algebra,25,90%,3,Yes,2,92231,32.687552000000004,-115.541028,57
1822,2017000025,A-,Integrated Core,92.7,3.46,INT 200,Classical Rhetoric,25,93.55%,3,Yes,2,92231,32.687552000000004,-115.541028,25
1823,2017000025,B+,Kinesiology,87.85,3.46,KIN 325,Motor Control &amp; Learning,25,100%,3,Yes,2,92231,32.687552000000004,-115.541028,40
1824,2017000025,B+,Kinesiology,88.77,3.46,KIN 340,Principles of Health Promotion,25,96.88%,3,Yes,2,92231,32.687552000000004,-115.541028,66
1825,2017000025,B,Kinesiology,84.77,3.46,KIN 350,Measurments and Evaluation in Kinesiology,25,96.97%,3,Yes,2,92231,32.687552000000004,-115.541028,66
1826,2017000025,A,General Education,94.51,3.46,WRI 105,College Composition II,25,95.56%,3,Yes,2,92231,32.687552000000004,-115.541028,90
1827,2017000025,P+,Other,100.0,3.46,Chapel,Chapel,25,96.97%,3,Yes,2,92231,32.687552000000004,-115.541028,46
1833,2017000027,B,General Education,84.0,2.73,ECO 100,Introduction to Economics,23,100%,3,No,5,92057,33.254619,-117.283341,17
1834,2017000027,B+,Integrated Core,89.6,2.73,INT 200,Classical Rhetoric,23,84.62%,3,No,5,92057,33.254619,-117.283341,25
1835,2017000027,B,Kinesiology,83.95,2.73,KIN 100,Fundamentals of Nutrition,23,88.46%,3,No,5,92057,33.254619,-117.283341,40
1836,2017000027,B,Kinesiology,83.43,2.73,KIN 340,Principles of Health Promotion,23,92.59%,3,No,5,92057,33.254619,-117.283341,50
1838,2017000027,C-,Natural Sciences,71.06,2.73,CHE 105,General Chemistry I and LAB,23,100%,3,No,5,92057,33.254619,-117.283341,31
1840,2017000027,B,Kinesiology,83.0,2.83,KIN 300,Applied Kinesiology,23,100%,3,No,5,92057,33.254619,-117.283341,77
1841,2017000027,B-,Kinesiology,82.0,2.83,KIN 315,Nutrition for Health &amp; Exercise Performance,23,100%,3,No,5,92057,33.254619,-117.283341,77
1842,2017000027,B+,Kinesiology,89.0,2.83,KIN 370,Health and Fitness Across the Lifespan,23,95.45%,3,No,5,92057,33.254619,-117.283341,40
1843,2017000027,B,Kinesiology,85.0,2.83,KIN 380,Socio-Phychological Aspects of Sport &amp; Physical Activity,23,96%,3,No,5,92057,33.254619,-117.283341,40
1845,2017000027,A-,Integrated Core,90.79,3.43,INT 300,Ethics,23,85%,3,No,5,92057,33.254619,-117.283341,29
1846,2017000027,A,Kinesiology,100.4,3.43,KIN 150,Intro to Athletic Training,23,93.02%,3,No,5,92057,33.254619,-117.283341,51
1847,2017000027,B+,Kinesiology,89.64,3.43,KIN 325,Motor Control &amp; Learning,23,100%,3,No,5,92057,33.254619,-117.283341,40
1848,2017000027,P+,Other,100.0,3.43,Chapel,Chapel,23,100%,3,No,5,92057,33.254619,-117.283341,46
1849,2017000027,B+,General Education,88.25,3.43,MTH 100,College Algebra,23,90.20%,3,No,5,92057,33.254619,-117.283341,34
1850,2017000027,B,General Education,83.14,3.43,ASL 100,American Sign Language I,23,92.86%,3,No,5,92057,33.254619,-117.283341,82
1854,2017000029,C-,Natural Sciences,71.09,2.13,CHE 105,General Chemistry I and LAB,22,100%,3,No,2,92027,33.131156,-116.976997,31
1855,2017000029,C+,Natural Sciences,79.23,2.13,BIO 105,Introductory Biology I and LAB,22,88.89%,3,No,2,92027,33.131156,-116.976997,31
1856,2017000029,B+,General Education,88.28,2.13,COM 105,Oral Communication,22,90.32%,3,No,2,92027,33.131156,-116.976997,41
1857,2017000029,D+,Integrated Core,68.21,2.13,INT 200,Classical Rhetoric,22,76%,3,No,2,92027,33.131156,-116.976997,25
1859,2017000029,C+,Natural Sciences,79.0,2.43,BIO 110,Introductory Biology II and LAB,22,100%,3,No,2,92027,33.131156,-116.976997,31
1861,2017000029,0,Integrated Core,0.0,2.43,INT 210,Western Civilization &amp; the Formation of Christendom,22,100%,3,No,2,92027,33.131156,-116.976997,20
1862,2017000029,B+,Natural Sciences,88.0,2.43,MTH 110,Calculus I,22,65.79%,3,No,2,92027,33.131156,-116.976997,25
1863,2017000029,C+,General Education,79.0,2.43,WRI 105,College Composition II,22,54.76%,3,No,2,92027,33.131156,-116.976997,10
1884,2017000031,B+,Integrated Core,86.8,2.77,INT 100,Interdisciplinary Studies,20,92.31%,3,Yes,1,92084,33.219935,-117.202606,28
1885,2017000031,F (R),General Education,38.54,2.77,MTH 100,College Algebra,20,96.67%,3,Yes,1,92084,33.219935,-117.202606,16
1886,2017000031,C,General Education,74.28,2.77,WRI 090,Intermediate Composition,20,88%,3,Yes,1,92084,33.219935,-117.202606,25
1887,2017000031,B,Psychology,85.0,2.77,PSY 150,Introduction to Psychology,20,93.75%,3,Yes,1,92084,33.219935,-117.202606,70
1889,2017000031,B-,Business Management,81.46,1.74,ECO 110,Microeconomics,20,100%,3,Yes,1,92084,33.219935,-117.202606,76
1890,2017000031,B+,Psychology,87.0,1.74,PSY 330,Developmental Psychology,20,94.12%,3,Yes,1,92084,33.219935,-117.202606,70
1891,2017000031,B-,General Education,80.0,1.74,WRI 100,College Composition I,20,79.07%,3,Yes,1,92084,33.219935,-117.202606,10
1892,2017000031,F,General Education,58.0,1.74,MTH 100,College Algebra,20,86.67%,3,Yes,1,92084,33.219935,-117.202606,57
1895,2017000031,B,Business Management,83.36,2.38,ECO 115,Macroeconomics,20,85.29%,3,Yes,1,92084,33.219935,-117.202606,89
1896,2017000031,C+,Business Management,77.02,2.38,MGT 100,Foundations of Management,20,79.31%,3,Yes,1,92084,33.219935,-117.202606,79
1897,2017000031,C+,General Education,78.79,2.38,WRI 105,College Composition II,20,66.67%,3,Yes,1,92084,33.219935,-117.202606,90
1898,2017000031,P+,Other,100.0,2.38,Chapel,Chapel,20,96.97%,3,Yes,1,92084,33.219935,-117.202606,46
1899,2017000031,C-,Psychology,71.0,2.38,PSY 355,Psychology of Personality,20,86.67%,3,Yes,1,92084,33.219935,-117.202606,70
1906,2017000035,B-,Natural Sciences,82.05,3.13,CHE 105,General Chemistry I and LAB,19,100%,3,No,1,92028,33.390477000000004,-117.209427,31
1907,2017000035,A-,Integrated Core,92.3,3.13,INT 100,Interdisciplinary Studies,19,88.46%,3,No,1,92028,33.390477000000004,-117.209427,28
1908,2017000035,B+,Kinesiology,86.5,3.13,KIN 100,Fundamentals of Nutrition,19,96.15%,3,No,1,92028,33.390477000000004,-117.209427,40
1909,2017000035,B,Natural Sciences,84.47,3.13,BIO 105,Introductory Biology I and LAB,19,100%,3,No,1,92028,33.390477000000004,-117.209427,31
1911,2017000035,C-,Natural Sciences,71.0,2.73,BIO 110,Introductory Biology II and LAB,19,66.67%,3,No,1,92028,33.390477000000004,-117.209427,31
1913,2017000035,B+,Integrated Core,87.0,2.73,INT 110,Critical Reasoning,19,88.64%,3,No,1,92028,33.390477000000004,-117.209427,29
1914,2017000035,B,General Education,83.0,2.73,MTH 100,College Algebra,19,83.33%,3,No,1,92028,33.390477000000004,-117.209427,57
1915,2017000035,B+,General Education,89.0,2.73,WRI 100,College Composition I,19,76.74%,3,No,1,92028,33.390477000000004,-117.209427,10
1916,2017000035,A,Natural Sciences,96.31,3.4,BIO 305,Human Physiology &amp; Anatomy I,19,84.09%,3,No,1,92028,33.390477000000004,-117.209427,11
1917,2017000035,A,Integrated Core,93.9,3.4,INT 200,Classical Rhetoric,19,83.33%,3,No,1,92028,33.390477000000004,-117.209427,25
1918,2017000035,B+,Kinesiology,86.44,3.4,KIN 315,Nutrition for Health &amp; Exercise Performance,19,100%,3,No,1,92028,33.390477000000004,-117.209427,77
1919,2017000035,A-,Kinesiology,91.67,3.4,KIN 200,Introduction to Kinesiology,19,96.88%,3,No,1,92028,33.390477000000004,-117.209427,77
1921,2017000035,P+,Other,100.0,3.4,Chapel,Chapel,19,100%,3,No,1,92028,33.390477000000004,-117.209427,46
1934,2017000041,F,Natural Sciences,33.58,0.92,CHE 105,General Chemistry I and LAB,19,100%,3,Yes,1,95376,37.737190999999996,-121.433384,31
1935,2017000041,C+,General Education,78.6,0.92,WRI 090,Intermediate Composition,19,80%,3,Yes,1,95376,37.737190999999996,-121.433384,25
1936,2017000041,C,Integrated Core,75.9,0.92,INT 100,Interdisciplinary Studies,19,92.31%,3,Yes,1,95376,37.737190999999996,-121.433384,28
1937,2017000041,F,General Education,32.78,0.92,MTH 090,Intermediate Algebra,19,79.31%,3,Yes,1,95376,37.737190999999996,-121.433384,57
1938,2017000041,D-,Natural Sciences,60.98,0.92,BIO 105,Introductory Biology I and LAB,19,100%,3,Yes,1,95376,37.737190999999996,-121.433384,31
1945,2017000042,C+,Business Management,78.63,2.6,ACC 220,Financial Accounting,22,96.55%,3,Yes,1,92078,33.117154,-117.180627,17
1946,2017000042,B-,Business Management,81.01,2.6,ECO 115,Principles of Macroeconomics,22,93.75%,3,Yes,1,92078,33.117154,-117.180627,89
1947,2017000042,B-,Integrated Core,80.03,2.6,INT 300,Ethics,22,64.29%,3,Yes,1,92078,33.117154,-117.180627,29
1951,2017000042,C+,Business Management,77.0,2.38,ACC 230,Managerial Accounting,22,96.88%,3,Yes,1,92078,33.117154,-117.180627,17
1952,2017000042,B+,Business Management,86.0,2.38,ECO 110,Microeconomics,22,94.44%,3,Yes,1,92078,33.117154,-117.180627,76
1953,2017000042,D+,Integrated Core,68.0,2.38,INT 310,Modern European Thought &amp; Culture,22,68.75%,3,Yes,1,92078,33.117154,-117.180627,28
1954,2017000042,C+,General Education,79.0,2.38,MTH 105,Introduction to Statistics,22,97.06%,3,Yes,1,92078,33.117154,-117.180627,15
1956,2017000042,B-,Business Management,81.0,2.38,MGT 320,HR and Talent Management,22,67.65%,3,Yes,1,92078,33.117154,-117.180627,89
1957,2017000042,B,Business Management,83.33,2.86,BUS 305,Business Law,22,73.33%,3,Yes,1,92078,33.117154,-117.180627,23
1958,2017000042,B+,Business Management,86.91,2.86,FIN 430,Corporate Finance,22,88.37%,3,Yes,1,92078,33.117154,-117.180627,79
1959,2017000042,A-,Business Management,90.15,2.86,MGT 315,Organizational Behavior,22,87.76%,3,Yes,1,92078,33.117154,-117.180627,41
1960,2017000042,C+,Business Management,78.45,2.86,MKT 260,Principles of Marketing,22,94.12%,3,Yes,1,92078,33.117154,-117.180627,22
1961,2017000042,C,Business Management,75.63,2.86,MKT 320,Marketing Management,22,100%,3,Yes,1,92078,33.117154,-117.180627,22
1962,2017000042,P+,Other,100.0,2.86,Chapel,Chapel,22,96.97%,3,Yes,1,92078,33.117154,-117.180627,46
1968,2017000044,B-,Natural Sciences,80.41,3.2,BIO 105,Introductory Biology I and LAB,20,100%,2,No,1,85286,33.271981,-111.831774,31
1969,2017000044,B+,Kinesiology,89.4,3.2,KIN 100,Fundamentals of Nutrition,20,96.15%,2,No,1,85286,33.271981,-111.831774,40
1970,2017000044,A-,Natural Sciences,92.34,3.2,CHE 105,General Chemistry I and LAB,20,100%,2,No,1,85286,33.271981,-111.831774,31
1971,2017000044,B,Integrated Core,85.78,3.2,INT 200,Classical Rhetoric,20,96.30%,2,No,1,85286,33.271981,-111.831774,25
1972,2017000044,B+,Kinesiology,88.45,3.2,KIN 200,Introduction to Kinesiology,20,88.46%,2,No,1,85286,33.271981,-111.831774,40
1974,2017000044,B-,Natural Sciences,81.0,2.61,BIO 110,Introductory Biology II and LAB,20,100%,2,No,1,85286,33.271981,-111.831774,31
1976,2017000044,D,Integrated Core,63.0,2.61,INT 210,Western Civilization &amp; the Formation of Christendom,20,93.48%,2,No,1,85286,33.271981,-111.831774,20
1977,2017000044,A,Natural Sciences,99.0,2.61,MTH 110,Calculus I,20,92.11%,2,No,1,85286,33.271981,-111.831774,25
1979,2017000047,B-,Natural Sciences,82.86,2.93,CHE 105,General Chemistry I and LAB,22,100%,3,No,4,85139,32.979987,-112.144852,31
1980,2017000047,B-,General Education,80.02,2.93,ECO 100,Introduction to Economics,22,96.55%,3,No,4,85139,32.979987,-112.144852,17
1981,2017000047,A-,Integrated Core,91.92,2.93,INT 200,Classical Rhetoric,22,88.89%,3,No,4,85139,32.979987,-112.144852,25
1982,2017000047,F (R),Natural Sciences,32.17,2.93,MTH 110,Calculus I,22,86.96%,3,No,4,85139,32.979987,-112.144852,67
1986,2017000047,A,Integrated Core,93.0,3.18,INT 210,Western Civilization &amp; the Formation of Christendom,22,93.48%,3,No,4,85139,32.979987,-112.144852,20
1988,2017000047,A-,Natural Sciences,91.0,3.18,MTH 110,Calculus I,22,50%,3,No,4,85139,32.979987,-112.144852,25
1989,2017000047,A,Natural Sciences,95.0,3.18,MTH 315,Biostatistics,22,62.50%,3,No,4,85139,32.979987,-112.144852,25
1990,2017000047,B+,Integrated Core,87.0,2.69,INT 350,"The American Experiment in Politics, Culture &amp; Religion",22,100%,3,No,4,85139,32.979987,-112.144852,20
1991,2017000047,B,Natural Sciences,84.76,2.69,CHE 300,Biochemistry I,22,77.78%,3,No,4,85139,32.979987,-112.144852,33
1992,2017000047,C,General Education,75.32,2.69,SPA 100,Spanish I,22,84.38%,3,No,4,85139,32.979987,-112.144852,19
1996,2017000048,D+,Natural Sciences,69.53,2.85,BIO 105,Introductory Biology I and LAB,21,100%,3,No,1,90620,33.845223,-118.01529199999999,31
1997,2017000048,B+,Kinesiology,88.4,2.85,KIN 100,Fundamentals of Nutrition,21,96.15%,3,No,1,90620,33.845223,-118.01529199999999,40
1998,2017000048,B,Kinesiology,85.55,2.85,KIN 200,Introduction to Kinesiology,21,96.15%,3,No,1,90620,33.845223,-118.01529199999999,40
1999,2017000048,A-,General Education,90.89,2.85,THE 100,Orthodox Christianity,21,96.55%,3,No,1,90620,33.845223,-118.01529199999999,83
2000,2017000048,B+,General Education,87.08,2.85,ASL 100,American Sign Language I,21,95.83%,3,No,1,90620,33.845223,-118.01529199999999,82
2002,2017000048,B-,Kinesiology,81.0,2.42,KIN 360,Health Concepts &amp; Disease Prevention,21,93.33%,3,No,1,90620,33.845223,-118.01529199999999,40
2003,2017000048,B-,General Education,81.13,2.42,MTH 105,Introduction to Statistics,21,100%,3,No,1,90620,33.845223,-118.01529199999999,15
2006,2017000048,C+,Kinesiology,76.0,2.42,KIN 315,Nutrition for Health &amp; Exercise Performance,21,93.02%,3,No,1,90620,33.845223,-118.01529199999999,77
2007,2017000048,B-,Kinesiology,82.0,2.42,KIN 370,Health and Fitness Across the Lifespan,21,93.18%,3,No,1,90620,33.845223,-118.01529199999999,40
2008,2017000048,A-,Integrated Core,91.8,3.4,INT 200,Classical Rhetoric,21,80.65%,3,No,1,90620,33.845223,-118.01529199999999,25
2009,2017000048,B,Kinesiology,83.87,3.4,KIN 325,Motor Control &amp; Learning,21,93.33%,3,No,1,90620,33.845223,-118.01529199999999,40
2010,2017000048,A-,Kinesiology,90.31,3.4,KIN 340,Principles of Health Promotion,21,90.63%,3,No,1,90620,33.845223,-118.01529199999999,66
2011,2017000048,A-,Kinesiology,90.31,3.4,KIN 350,Measurments and Evaluation in Kinesiology,21,93.94%,3,No,1,90620,33.845223,-118.01529199999999,66
2012,2017000048,P+,Other,100.0,3.4,Chapel,Chapel,21,96.97%,3,No,1,90620,33.845223,-118.01529199999999,46
2013,2017000048,C+,Integrated Core,78.53,3.4,INT 300,Ethics,21,85%,3,No,1,90620,33.845223,-118.01529199999999,29
2020,2017000049,C-,Natural Sciences,72.87,2.07,CHE 105,General Chemistry I and LAB,21,100%,3,No,1,92111,32.806476,-117.168879,31
2021,2017000049,D-,General Education,60.9,2.07,MTH 100,College Algebra,21,86.67%,3,No,1,92111,32.806476,-117.168879,16
2022,2017000049,B+,Integrated Core,88.95,2.07,INT 100,Interdisciplinary Studies,21,88.46%,3,No,1,92111,32.806476,-117.168879,28
2024,2017000049,B-,Kinesiology,82.9,2.07,KIN 100,Fundamentals of Nutrition,21,92.31%,3,No,1,92111,32.806476,-117.168879,40
2037,2017000051,B-,Natural Sciences,81.5,2.66,BIO 105,Introductory Biology I and LAB,19,100%,3,No,1,92562,33.547613,-117.34403999999999,31
2038,2017000051,C+,Natural Sciences,76.01,2.66,CHE 105,General Chemistry I and LAB,19,100%,3,No,1,92562,33.547613,-117.34403999999999,31
2039,2017000051,A-,Integrated Core,91.45,2.66,INT 100,Interdisciplinary Studies,19,92.31%,3,No,1,92562,33.547613,-117.34403999999999,28
2040,2017000051,D-,General Education,60.22,2.66,MTH 100,College Algebra,19,90%,3,No,1,92562,33.547613,-117.34403999999999,16
2041,2017000051,A,General Education,93.04,2.66,WRI 100,College Composition I,19,77.78%,3,No,1,92562,33.547613,-117.34403999999999,10
2043,2017000051,C,Natural Sciences,73.0,2.86,BIO 110,Introductory Biology II and LAB,19,71.43%,3,No,1,92562,33.547613,-117.34403999999999,31
2045,2017000051,B+,Integrated Core,87.0,2.86,INT 110,Critical Reasoning,19,65.91%,3,No,1,92562,33.547613,-117.34403999999999,29
2046,2017000051,A,General Education,96.0,2.86,WRI 105,College Composition II,19,69.05%,3,No,1,92562,33.547613,-117.34403999999999,10
2047,2017000051,A,Natural Sciences,94.0,2.86,MTH 110,Calculus I,19,50%,3,No,1,92562,33.547613,-117.34403999999999,25
2049,2017000052,A,Arts and Humanities,102.11,3.33,HIS 100,Introduction to Historical Study,29,96.15%,2,No,1,92078,33.117154,-117.180627,20
2050,2017000052,C+,Integrated Core,78.57,3.33,INT 300,Ethics,29,100%,2,No,1,92078,33.117154,-117.180627,29
2051,2017000052,A-,Arts and Humanities,91.49,3.33,LIT 200,Intro to Literature &amp; Creative Writing,29,96.67%,2,No,1,92078,33.117154,-117.180627,28
2053,2017000052,B+,Arts and Humanities,89.0,3.33,ART 300,2D Design,29,100%,2,No,1,92078,33.117154,-117.180627,64
2055,2017000052,B,Business Management,84.0,2.8,MGT 315,Organizational Behavior,29,96.08%,2,No,1,92078,33.117154,-117.180627,89
2056,2017000052,C-,General Education,70.0,2.8,MTH 100,College Algebra,29,100%,2,No,1,92078,33.117154,-117.180627,57
2057,2017000052,B+,General Education,87.0,2.8,WRI 105,College Composition II,29,95.24%,2,No,1,92078,33.117154,-117.180627,10
2058,2017000052,B,Business Management,83.0,2.8,BUS 310,Leadership and Business Ethics,29,100%,2,No,1,92078,33.117154,-117.180627,44
2059,2017000052,B,Business Management,84.0,2.8,MGT 480,Strategic Management,29,100%,2,No,1,92078,33.117154,-117.180627,89
2061,2017000052,B+,Business Management,86.0,2.72,BUS 305,Business Law,29,90%,2,No,1,92078,33.117154,-117.180627,23
2062,2017000052,B,Business Management,84.84,2.72,FIN 430,Corporate Finance,29,95.35%,2,No,1,92078,33.117154,-117.180627,79
2063,2017000052,C-,Business Management,70.12,2.72,MGT 100,Foundations of Management,29,96.55%,2,No,1,92078,33.117154,-117.180627,79
2064,2017000052,B+,Business Management,87.33,2.72,MGT 320,HR and Talent Management,29,91.84%,2,No,1,92078,33.117154,-117.180627,41
2066,2017000052,P+,Other,100.0,2.72,Chapel,Chapel,29,100%,2,No,1,92078,33.117154,-117.180627,46
2067,2017000052,B-,Business Management,82.13,2.72,MKT 320,Marketing Management,29,97.06%,2,No,1,92078,33.117154,-117.180627,22
2073,2017000054,F,General Education,39.5,0.82,MTH 090,Intermediate Algebra,19,93.10%,3,No,2,75137,32.643212,-96.91646800000001,57
2074,2017000054,D+,General Education,67.78,0.82,WRI 090,Intermediate Composition,19,84%,3,No,2,75137,32.643212,-96.91646800000001,25
2075,2017000054,C-,Natural Sciences,70.05,0.82,CHE 105,General Chemistry I and LAB,19,100%,3,No,2,75137,32.643212,-96.91646800000001,31
2082,2017000057,B-,Business Management,82.6,2.73,ECO 115,Principles of Macroeconomics,22,93.75%,2,No,1,92069,33.170775,-117.158676,89
2083,2017000057,B,Integrated Core,83.67,2.73,INT 300,Ethics,22,92.86%,2,No,1,92069,33.170775,-117.158676,29
2084,2017000057,B+,Business Management,86.35,2.73,MGT 100,Foundations of Management,22,100%,2,No,1,92069,33.170775,-117.158676,4
2085,2017000057,C-,General Education,71.83,2.73,SPA 100,Spanish I,22,96.55%,2,No,1,92069,33.170775,-117.158676,19
2086,2017000057,B+,General Education,89.72,2.73,THE 100,Orthodox Christianity,22,100%,2,No,1,92069,33.170775,-117.158676,83
2088,2017000057,B-,Business Management,80.29,1.9,ECO 110,Microeconomics,22,97.22%,2,No,1,92069,33.170775,-117.158676,76
2089,2017000057,D+,Integrated Core,67.22,1.9,INT 310,Modern European Thought &amp; Culture,22,75%,2,No,1,92069,33.170775,-117.158676,28
2090,2017000057,C+,Business Management,79.0,1.9,MGT 315,Organizational Behavior,22,82.35%,2,No,1,92069,33.170775,-117.158676,89
2091,2017000057,F (R),General Education,57.0,1.9,MTH 100,College Algebra,22,80%,2,No,1,92069,33.170775,-117.158676,57
2094,2017000057,C,Business Management,73.88,2.69,ACC 220,Financial Accounting,22,90%,2,No,1,92069,33.170775,-117.158676,79
2095,2017000057,A,Business Management,96.78,2.69,MGT 320,HR and Talent Management,22,89.80%,2,No,1,92069,33.170775,-117.158676,41
2096,2017000057,C+,Business Management,77.31,2.69,MKT 260,Principles of Marketing,22,70.59%,2,No,1,92069,33.170775,-117.158676,22
2097,2017000057,B-,Business Management,80.35,2.69,MKT 320,Marketing Management,22,79.41%,2,No,1,92069,33.170775,-117.158676,22
2098,2017000057,C,General Education,74.0,2.69,MTH 100,College Algebra,22,83.33%,2,No,1,92069,33.170775,-117.158676,57
2104,2017000058,B,Business Management,83.6,2.52,ECO 115,Principles of Macroeconomics,21,93.75%,3,No,1,92101,32.724103,-117.17091200000002,89
2105,2017000058,B+,Integrated Core,88.27,2.52,INT 200,Classical Rhetoric,21,68%,3,No,1,92101,32.724103,-117.17091200000002,25
2106,2017000058,B+,Business Management,86.75,2.52,MGT 100,Foundations of Management,21,100%,3,No,1,92101,32.724103,-117.17091200000002,4
2108,2017000058,B,General Education,85.95,2.52,THE 100,Orthodox Christianity,21,86.21%,3,No,1,92101,32.724103,-117.17091200000002,83
2110,2017000058,B-,Business Management,81.0,2.5,ACC 230,Managerial Accounting,21,100%,3,No,1,92101,32.724103,-117.17091200000002,17
